DieName,DieLtr,DieNo,Width,Length,CornerRadius
R-8,R,8,1.25,2.00,0.13
R-11,R,11,1.50,3.00,0.11
R-12,R,12,1.50,4.00,0.25
R-16,R,16,2.00,3.00,0.13
R-17,R,17,1.00,1.25,0.16
R-27,R,27,2.00,1.50,0.09
R-39B,R,39,2.00,2.00,0.13
R-41A,R,41,1.94,3.50,0.13
R-43B,R,43,2.50,2.25,0.19
R-44,R,44,2.75,3.81,0.19
R-66B,R,66,4.00,2.50,0.13
R-66B/3,R,66,4.00,2.50,0.13
R-68A,R,68,1.00,3.00,0.06
R-68,R,68,3.00,1.00,0.06
R-74,R,74,4.63,2.00,0.13
R-74A,R,74,2.00,4.63,0.13
R-75A/3,R,75,3.00,5.00,0.13
R-75A,R,75,3.00,5.00,0.13
R-75,R,75,5.00,3.00,0.19
R-79,R,79,3.00,3.50,0.13
R-82,R,82,2.50,1.75,0.08
R-97,R,97,0.75,2.75,0.13
R-107,R,107,0.50,1.75,0.13
R-121,R,121,1.00,1.00,0.13
R-122/3,R,122,4.00,6.00,0.13
R-122,R,122,4.00,6.00,0.13
R-123A,R,123,2.00,1.00,0.13
R-123,R,123,1.00,2.00,0.13
R-128,R,128,3.00,2.00,0.13
R-130,R,130,2.88,3.75,0.13
R-131B,R,131,2.50,3.50,0.13
R-136,R,136,2.50,3.00,0.13
R-137,R,137,0.88,0.75,0.13
R-142A,R,142,1.50,1.25,0.13
R-142B,R,142,1.25,1.50,0.13
R-144,R,144,4.00,7.00,0.13
R-144/3,R,144,4.00,7.00,0.13
R-150,R,150,3.00,1.50,0.13
R-193B,R,193,2.50,7.00,0.13
R-195,R,195,4.50,8.50,0.13
R-195T,R,195,4.50,8.50,0.13
R-197,R,197,0.75,3.25,0.13
R-222,R,222,3.00,3.00,0.13
R-223,R,223,2.50,2.50,0.00
R-235,R,235,4.50,4.50,0.13
R-251,R,251,3.00,3.00,0.00
R-274,R,274,1.75,3.00,0.13
R-288,R,288,3.50,3.50,0.13
R-291,R,291,3.50,3.00,0.00
R-294,R,294,4.00,3.38,0.13
R-299,R,299,6.00,4.00,0.00
R-300,R,300,2.50,3.50,0.00
R-310,R,310,2.25,6.50,0.13
R-314,R,314,3.75,7.00,0.13
R-314/3,R,314,3.75,7.00,0.13
R-329,R,329,3.00,7.50,0.00
R-342,R,342,1.00,2.50,0.13
R-345,R,345,2.25,2.50,0.19
R-355,R,355,4.00,4.00,0.13
R-355/3,R,355,4.00,4.00,0.13
R-356,R,356,1.75,1.75,0.03
R-357/3,R,357,3.13,3.25,0.11
R-369,R,369,2.50,7.50,0.13
R-385,R,385,5.00,4.00,0.00
R-385/3T,R,385,5.00,4.00,
R-388,R,388,4.75,7.75,0.13
R-401,R,401,5.50,8.00,0.13
R-402,R,402,2.50,5.00,0.25
R-414,R,414,4.50,4.00,0.13
R-429,R,429,5.00,10.00,0.13
R-436/3,R,436,2.50,8.50,
R-440,R,440,2.50,6.00,0.13
R-451,R,451,2.75,4.25,0.13
R-456,R,456,4.50,3.00,0.13
R-472,R,472,4.00,7.50,0.00
R-479/3,R,479,2.63,8.31,0.13
R-483,R,483,3.50,4.50,0.00
R-486,R,486,2.25,6.38,0.13
R-487,R,487,2.75,7.75,0.13
R-490/3,R,490,3.00,7.75,0.13
R-496,R,496,2.00,4.75,0.13
R-498,R,498,1.25,2.25,0.00
R-501,R,501,3.25,8.00,0.09
R-502,R,502,2.00,5.50,0.09
R-503,R,503,1.75,3.88,0.09
R-504,R,504,2.25,6.00,0.09
R-505,R,505,2.50,4.19,0.09
R-506,R,506,5.38,12.25,0.13
R-506/3,R,506,5.38,12.25,0.13
R-507,R,507,3.25,8.31,0.19
R-508,R,508,4.50,3.38,0.13
R-509,R,509,2.25,8.13,0.13
R-510,R,510,4.63,14.25,0.13
R-511,R,511,1.75,0.75,0.13
R-513,R,513,5.94,4.25,0.13
R-514,R,514,3.00,5.75,0.13
R-516,R,516,5.00,7.50,0.00
R-517,R,517,3.00,10.00,0.13
R-518,R,518,2.40,2.25,0.00
R-519,R,519,4.00,3.57,0.00
R-520,R,520,2.83,2.59,0.00
R-521,R,521,2.94,3.23,0.00
R-522,R,522,1.90,2.09,0.00
R-523,R,523,1.75,2.08,0.00
R-524,R,524,2.00,2.08,0.00
R-525,R,525,2.50,3.63,0.31
R-526,R,526,2.70,2.45,0.00
R-527,R,527,1.78,2.03,0.00
R-528,R,528,2.45,2.10,0.00
R-529,R,529,3.25,11.75,0.13
R-530,R,530,1.50,4.63,0.13
R-531,R,531,1.38,7.06,0.13
R-532,R,532,3.38,8.88,0.13
R-533,R,533,6.00,6.00,0.00
R-534,R,534,4.13,5.00,0.03
R-534/3,R,534,4.13,5.00,0.03
R-535,R,535,5.25,10.88,0.13
R-536,R,536,3.50,16.25,0.13
R-537,R,537,1.83,8.50,0.13
R-538,R,538,6.00,19.50,0.13
R-539,R,539,2.00,7.81,0.13
R-541,R,541,3.50,2.00,0.13
R-542,R,542,2.38,7.88,0.13
R-543,R,543,1.69,0.88,0.06
R-545,R,545,2.13,7.63,0.13
R-546,R,546,2.25,7.50,0.13
R-547,R,547,4.50,7.00,0.50
R-550,R,550,5.06,19.50,0.13
R-551,R,551,2.63,1.44,0.00
R-552,R,552,1.38,0.63,0.13
R-553,R,553,2.38,10.00,0.13
R-554,R,554,4.44,10.63,0.13
R-555,R,555,2.75,7.25,0.13
R-556/3,R,556,4.00,3.00,0.13
R-556,R,556,4.00,3.00,0.13
R-557,R,557,2.36,3.74,0.08
R-558,R,558,3.50,2.88,0.00
R-559,R,559,2.50,1.88,0.00
R-560,R,560,4.00,2.75,0.00
R-561,R,561,3.25,3.50,0.00
R-562,R,562,1.13,9.25,0.38
R-563,R,563,1.50,10.50,0.06
R-564,R,564,4.75,3.00,0.06
R-565,R,565,2.28,1.57,0.13
R-566,R,566,2.28,1.18,0.13
R-567,R,567,2.28,2.36,0.13
R-568,R,568,1.75,3.50,0.13
R-569,R,569,2.63,5.69,0.13
R-570,R,570,0.88,2.25,0.06
R-571,R,571,5.00,3.00,0.00
R-572,R,572,3.00,6.75,0.00
R-573,R,573,1.13,10.50,0.38
R-574/3,R,574,6.00,8.38,0.00
R-575,R,575,5.25,4.25,0.13
R-576,R,576,1.63,6.75,0.13
R-578,R,578,6.00,5.91,0.00
R-579,R,579,4.69,5.91,0.00
R-581,R,581,2.09,2.00,0.06
R-582,R,582,2.09,1.13,0.06
R-583,R,583,6.00,13.13,0.13
R-584,R,584,1.75,1.50,0.33
R-586,R,586,2.36,4.92,0.13
R-587,R,587,2.25,7.25,0.06
R-588,R,588,0.50,1.06,0.06
R-589,R,589,0.63,3.07,0.13
R-590,R,590,1.75,5.25,0.13
R-591/3,R,591,4.00,7.50,0.13
R-592,R,592,3.00,8.00,0.13
R-593,R,593,2.00,3.75,0.00
R-594,R,594,5.50,6.88,0.13
R-595,R,595,3.00,6.25,0.13
R-597,R,597,0.88,10.00,0.13
R-599,R,599,2.25,2.25,0.00
R-600,R,600,3.00,6.75,0.13
R-601,R,601,1.50,9.00,0.00
R-602,R,602,2.25,4.75,0.13
R-603,R,603,0.81,2.63,0.06
R-604,R,604,4.00,2.00,0.00
R-605,R,605,0.58,1.17,0.08
R-606,R,606,6.75,19.50,0.13
R-607,R,607,3.75,2.63,0.38
R-608,R,608,5.25,7.75,0.13
R-609,R,609,5.19,10.44,0.13
R-610,R,610,5.13,8.75,0.13
R-611,R,611,2.38,6.75,0.06
R-612,R,612,1.63,7.00,0.06
R-613,R,613,0.91,1.30,0.16
R-614,R,614,2.25,3.50,0.17
R-614/0,R,614,2.25,3.50,0.17
R-615,R,615,4.00,3.75,0.56
R-616,R,616,1.13,6.75,0.00
R-617,R,617,5.56,6.00,0.00
R-618,R,618,4.84,1.38,0.38
R-619,R,619,1.88,3.56,0.13
R-620,R,620,4.25,9.50,0.00
R-621,R,621,0.75,7.25,0.13
R-622,R,622,2.50,4.19,0.06
R-623,R,623,5.88,2.00,0.00
R-624,R,624,6.50,7.00,0.00
R-625,R,625,3.63,4.94,0.13
R-626,R,626,5.06,13.00,0.13
R-627,R,627,6.50,7.63,0.13
R-628,R,628,3.25,7.25,0.00
R-629,R,629,5.88,4.00,0.13
R-630,R,630,4.75,7.50,0.00
R-631,R,631,3.88,6.25,0.00
R-632/0,R,632,7.50,7.50,0.00
R-633,R,633,1.94,6.38,0.06
R-634,R,634,2.31,7.06,0.13
R-635,R,635,1.63,2.63,0.00
R-636,R,636,1.13,1.38,0.13
R-637,R,637,3.13,14.25,0.13
R-637/3,R,637,3.13,14.25,0.13
R-638,R,638,2.13,5.75,0.13
R-639,R,639,3.25,5.75,0.13
R-640,R,640,1.85,2.17,0.13
R-641,R,641,4.00,1.43,0.00
R-642,R,642,3.25,1.43,0.00
R-643,R,643,1.75,4.00,0.13
R-644,R,644,3.75,1.25,0.13
R-645/3,R,645,5.31,18.94,0.13
R-646/3,R,646,11.50,17.50,0.63
R-647,R,647,0.56,1.75,0.06
R-648/0,R,648,3.50,7.94,0.13
R-649,R,649,3.00,6.38,0.06
R-650,R,650,5.38,6.75,0.25
R-651,R,651,5.63,4.88,0.13
R-652,R,652,1.53,2.14,0.00
R-653,R,653,6.00,2.75,0.13
R-654,R,654,3.50,2.25,0.13
R-655,R,655,5.88,4.50,0.00
R-656,R,656,4.00,2.75,0.00
R-657,R,657,3.25,1.72,0.38
R-658,R,658,2.63,6.75,0.13
R-660,R,660,1.65,2.84,0.06
R-661,R,661,0.79,1.18,0.06
R-662,R,662,3.50,2.13,0.50
R-663,R,663,2.88,6.00,0.13
R-664,R,664,3.38,11.25,0.13
R-665,R,665,5.25,7.50,0.13
R-666,R,666,4.25,3.50,0.13
R-667,R,667,3.25,7.50,0.13
R-668,R,668,1.00,2.28,0.25
R-669,R,669,5.75,7.50,0.13
R-670,R,670,4.19,9.38,0.13
R-671,R,671,1.50,2.50,0.06
R-672,R,672,2.25,2.00,0.06
R-673,R,673,4.50,11.88,0.06
R-674,R,674,5.63,9.75,0.13
R-675,R,675,3.50,5.13,0.13
R-676,R,676,1.69,3.00,0.00
R-677,R,677,5.38,2.13,0.13
R-678,R,678,2.13,6.06,0.13
R-679,R,679,1.63,5.25,0.13
R-680,R,680,5.13,5.88,0.13
R-681/0,R,681,4.75,10.25,0.13
R-682/0,R,682,4.66,10.25,0.13
R-683,R,683,2.63,5.75,0.06
R-684,R,684,3.50,8.50,0.13
R-685,R,685,4.75,11.00,0.13
R-686,R,686,4.09,9.03,0.19
R-687,R,687,2.88,16.25,0.06
R-688,R,688,0.75,3.06,0.06
R-691,R,691,4.25,7.88,0.00
R-692,R,692,1.25,5.75,0.00
R-693,R,693,3.50,3.50,0.00
R-694,R,694,5.00,6.00,0.13
R-697,R,697,3.75,7.75,0.13
R-698,R,698,1.42,2.56,0.00
R-699/0,R,699,2.25,1.94,0.02
R-701,R,701,2.00,7.13,0.13
R-702,R,702,5.00,6.34,0.00
R-702/3,R,702,5.00,6.34,0.00
R-703,R,703,1.50,2.00,0.03
R-704,R,704,2.25,8.50,0.13
R-705/0,R,705,7.63,3.50,0.00
R-706,R,706,4.88,7.38,0.13
R-707,R,707,0.63,1.25,0.06
R-708,R,708,3.77,1.89,0.13
R-709,R,709,3.38,11.25,0.06
R-710,R,710,2.88,14.50,0.06
R-711,R,711,2.88,12.00,0.06
R-712,R,712,2.88,11.25,0.06
R-713,R,713,3.38,0.50,0.13
R-715,R,715,2.38,7.00,0.06
R-716,R,716,1.50,3.00,0.03
R-717,R,717,2.38,6.00,0.13
R-718,R,718,4.69,2.75,0.00
R-719,R,719,2.38,9.13,0.06
R-720,R,720,4.88,3.13,0.13
R-722,R,722,5.75,9.63,0.25
R-723,R,723,3.69,8.06,0.00
R-724,R,724,1.50,5.00,0.00
R-725,R,725,3.75,4.72,0.00
R-726,R,726,0.62,3.24,0.19
R-727/0,R,727,3.63,8.50,0.06
R-728,R,728,2.50,3.88,0.00
R-729,R,729,4.50,2.00,0.00
R-731,R,731,2.38,3.88,0.00
R-732,R,732,1.38,5.00,0.00
R-733,R,733,1.38,3.00,0.00
R-734,R,734,0.81,4.13,0.00
R-736,R,736,3.13,2.13,0.13
R-737,R,737,2.75,1.94,0.13
R-738,R,738,1.90,1.10,0.22
R-739,R,739,6.06,3.50,0.00
R-740,R,740,3.58,2.88,0.40
R-741,R,741,3.25,9.50,0.13
R-742,R,742,3.75,1.88,0.13
R-743,R,743,1.25,7.50,0.13
R-744,R,744,6.75,3.50,0.00
R-745,R,745,1.25,9.00,0.13
R-746,R,746,1.00,1.00,0.00
R-747A,R,747,0.75,0.94,0.13
R-747,R,747,0.94,0.75,0.13
R-748,R,748,4.00,14.00,0.13
R-749,R,749,1.88,5.50,0.13
R-750,R,750,0.88,1.75,0.13
R-751/0,R,751,3.50,8.38,0.13
R-751/3,R,751,3.50,8.38,0.13
R-752,R,752,3.63,9.50,0.13
R-753,R,753,4.25,4.00,0.13
R-754/0,R,754,4.63,9.31,0.13
R-755,R,755,2.75,6.13,0.13
R-757,R,757,1.63,8.75,0.03
R-758,R,758,3.25,10.63,0.13
R-759,R,759,2.37,11.42,0.13
R-760,R,760,5.38,8.81,0.13
R-761,R,761,3.00,9.00,0.13
R-762,R,762,6.13,6.13,0.13
R-764,R,764,2.88,12.75,0.13
R-765,R,765,2.88,18.25,0.13
R-767,R,767,1.00,0.20,0.03
R-768,R,768,1.73,5.50,0.09
R-769,R,769,1.50,1.88,0.00
R-770,R,770,2.50,8.00,0.13
R-771,R,771,3.38,4.25,0.00
R-772,R,772,4.25,5.25,0.00
R-773,R,773,4.50,6.00,0.00
R-774,R,774,3.00,5.63,0.25
R-775,R,775,3.94,5.50,0.06
R-776,R,776,1.05,0.50,0.03
R-777,R,777,3.50,15.75,0.06
R-778,R,778,4.00,4.75,0.13
R-779,R,779,4.33,7.19,0.13
R-780,R,780,3.75,3.75,0.00
R-781,R,781,1.31,3.50,0.13
R-782,R,782,2.13,2.00,0.06
R-783,R,783,3.00,2.63,0.06
R-784,R,784,3.25,2.00,0.00
R-785,R,785,2.69,8.88,0.13
R-786/0,R,786,8.38,8.44,0.09
R-788,R,788,5.50,10.63,0.09
R-789,R,789,1.00,11.25,0.00
R-790,R,790,0.88,9.00,0.00
R-791,R,791,5.25,10.25,0.13
R-792,R,792,2.13,8.50,0.13
R-793,R,793,2.25,11.00,0.13
R-794,R,794,3.13,5.00,0.03
R-795,R,795,1.57,2.83,0.08
R-796,R,796,3.75,5.75,0.13
R-797,R,797,1.50,5.75,0.13
R-798,R,798,2.45,4.34,0.06
R-799,R,799,3.13,4.75,0.13
R-800,R,800,1.25,8.75,0.00
R-801,R,801,1.00,1.63,0.09
R-803,R,803,1.38,2.75,0.00
R-804,R,804,2.50,4.44,0.00
R-805,R,805,3.00,12.25,0.13
R-806,R,806,4.00,1.63,0.03
R-807,R,807,3.81,6.00,0.13
R-808,R,808,1.68,1.64,0.00
R-810/3,R,810,4.88,6.31,0.00
R-811,R,811,1.00,3.00,0.00
R-812,R,812,4.25,6.00,0.13
R-813,R,813,2.75,10.38,0.06
R-814,R,814,5.13,5.63,0.00
R-815,R,815,2.38,5.25,0.13
R-816,R,816,2.93,3.93,0.06
R-817,R,817,1.38,8.75,0.03
R-818/3,R,818,3.13,6.75,0.06
R-819,R,819,4.38,6.75,0.09
R-820,R,820,2.00,4.00,0.00
R-821,R,821,3.00,4.00,0.00
R-822,R,822,3.75,2.63,0.00
R-824,R,824,2.69,3.63,0.00
R-825,R,825,4.13,3.63,0.00
R-826,R,826,2.88,3.50,0.06
R-827,R,827,4.10,6.10,0.00
R-828,R,828,4.38,15.63,0.13
R-829,R,829,4.88,2.63,0.00
R-830,R,830,3.50,3.25,0.02
R-831,R,831,5.50,16.00,0.13
R-832,R,832,1.25,2.88,0.13
R-833,R,833,2.01,1.44,0.00
R-834,R,834,4.50,6.25,0.00
R-835,R,835,1.75,6.14,0.13
R-836,R,836,3.50,9.50,0.13
R-837,R,837,2.50,2.00,0.25
R-838,R,838,2.17,8.62,0.25
R-839,R,839,2.25,3.00,0.03
R-840,R,840,4.00,2.50,0.00
R-841,R,841,2.30,5.00,0.13
R-842,R,842,3.75,2.00,0.00
R-843,R,843,3.44,2.44,0.00
R-844,R,844,0.94,1.38,0.05
R-845,R,845,3.75,14.00,0.00
R-846,R,846,2.50,2.00,0.00
R-847,R,847,1.08,0.96,0.19
R-848,R,848,2.53,1.73,0.13
R-849,R,849,1.25,2.75,0.13
R-850,R,850,2.38,1.75,0.13
R-851/3,R,851,3.75,10.75,0.06
R-852,R,852,4.00,3.00,0.00
R-853/0,R,853,7.00,7.00,0.13
R-854,R,854,2.75,7.00,0.00
R-855,R,855,3.00,0.48,0.00
R-856,R,856,0.50,2.38,0.13
R-857,R,857,3.88,1.50,0.22
R-858,R,858,2.25,1.63,0.25
R-859,R,859,3.45,1.90,0.00
R-860,R,860,3.63,1.75,0.31
